Provinsi;Sekolah;R_Kelas;RK_Baik;Persen_RK;Lab;Persen_Lab;Perpus;Persen_Perpus;UKS;Persen_UKS
DKI Jakarta;489;6561;4997;76.16;2190;74.64;492;100.61;419;85.69
Jawa Barat;1648;25970;15495;59.66;5462;55.24;1682;102.06;1086;65.9
Banten;572;7245;4654;64.24;1736;50.58;576;100.7;318;55.59
Jawa Tengah;852;14591;8523;58.41;3925;76.78;923;108.33;789;92.61
DI Yogyakarta;166;2244;1404;62.57;773;77.61;200;120.48;174;104.82
Jawa Timur;1523;19903;11771;59.14;4941;54.07;1525;100.13;1057;69.4
Aceh;528;6705;3109;46.37;1711;54.01;565;107.01;220;41.67
Sumatera Utara;1074;13635;7712;56.56;3365;52.22;1090;101.49;514;47.86
Sumatera Barat;330;5708;3391;59.41;1198;60.51;352;106.67;229;69.39
Riau;448;6047;3871;64.02;1254;46.65;473;105.58;252;56.25
Kepulauan Riau;143;1765;1137;64.42;447;52.1;140;97.9;85;59.44
Jambi;234;3081;1648;53.49;717;51.07;243;103.85;144;61.54
Sumatera Selatan;592;7475;4004;53.57;1742;49.04;599;101.18;383;64.7
Bangka Belitung;69;984;660;67.07;287;69.32;67;97.1;50;72.46
Bengkulu;140;2039;904;44.34;495;58.93;158;112.86;104;74.29
Lampung;504;6058;3134;51.73;1496;49.47;502;99.6;293;58.13
Kalimantan Barat;446;4792;2691;56.16;1111;41.52;436;97.76;270;60.54
Kalimantan Tengah;240;2600;1417;54.5;616;42.78;231;96.25;127;52.92
Kalimantan Selatan;195;2536;1531;60.37;642;54.87;206;105.64;126;64.62
Kalimantan Timur;222;3070;1712;55.77;736;55.26;246;110.81;173;77.93
Kalimantan Utara;62;647;350;54.1;134;36.02;63;101.61;29;46.77
Sulawesi Utara;226;2911;1639;56.3;674;49.71;251;111.06;122;53.98
Gorontalo;67;1071;557;52.01;249;61.94;75;111.94;35;52.24
Sulawesi Tengah;225;3091;1959;63.38;561;41.56;246;109.33;81;36
Sulawesi Selatan;581;9157;5028;54.91;1768;50.72;626;107.75;304;52.32
Sulawesi Barat;88;1185;576;48.61;248;46.97;94;106.82;37;42.05
Sulawesi Tenggara;297;4187;2356;56.27;857;48.09;324;109.09;119;40.07
Maluku;282;3403;1243;36.53;706;41.73;323;114.54;95;33.69
Maluku Utara;210;1939;951;49.05;487;38.65;211;100.48;34;16.19
Bali;160;2959;2047;69.18;627;65.31;162;101.25;126;78.75
Nusa Tenggara Barat;324;4128;1671;40.48;869;44.7;326;100.62;131;40.43
Nusa Tenggara Timur;550;8130;4599;56.57;1283;38.88;599;108.91;206;37.45
Papua;242;2705;1164;43.03;600;41.32;233;96.28;73;30.17
Papua Barat;124;1255;502;40;283;38.04;117;94.35;36;29.03
